"1415","Scotty Downrigger Repairs (No retail sales)","2065 Henry Ave. West","Sidney","BC","Canada","V8L 5Z6","250-656-8102","250-656-8126","scotty@scotty.com","www.scotty.com","1","Yes","48.652433","-123.414306",""
"121","Fred's Custom Tackle & Guiding","#1, 5580 Veddar Rd","Chilliwack","BC","Canada","V2R 3M7","604-858-7344","NULL","NULL","NULL","-1","No","49.1036226","-121.9624369",""
"97","Island Outfitters Ltd","3319 Douglas St","Victoria","BC","Canada","V8Z 3L2","250-475-4969","NULL","NULL","NULL","1","Yes","48.4500993","-123.3730046",""
"113","Berry's Bait and Tackle","14651 Westminster Hwy","Richmond","BC","Canada","V6V 1A4","604-273-5901","604-273-5980","berry@berrysbait.com","www.berrybait.com","1","Yes","49.170039","-123.059975",""
"234","Eagle Eye Wilderness Company","2051 Anna Marie Road","Sooke","BC","Canada","V0S 1N0","250-642-7983","250-642-7834","NULL","www.eagle-eye.ca","1","Yes","48.379238","-123.719188",""
"1600","Highwater Tackle ","201 Lonsdale Avenue","North Vancouver","BC","Canada","V7M 2E9","604.986.3239","","","www.highwatertackle.com","1","Yes","49.312858","-123.077966",""
"1276","Gone Fishin - Courtenay","3-2720 Cliffe Ave","Courtenay","BC","Canada","V9N 2L6","250-334-2007","250-334-2771","NULL","NULL","1","Yes","49.6752986","-124.9821545",""
"604","Marine Traders ","4462 Willington St","Powell River","BC","Canada","V8A 2M6","604-485-5616","604-485-6313","NULL","NULL","-1","No","49.8523004","-124.5359409",""
"900","Peter's / Tyee Marine","870 Cliffe Ave","Courtenay","BC","Canada","v9n 2j7","250-334-2942","NULL","NULL","NULL","1","Yes","49.688804","-124.9954699",""
"756","Powell River Outdoors","4592 Marine Ave.","Powell River","BC","Canada","V8A 2K7","604-485-2555","604-485-2574","NULL","NULL","-1","No","49.8402809","-124.5280998",""
"158","Gone Fishin' Ltd","#600, 2980 N. Island Hwy","Nanaimo","BC","Canada","V9T 5S4","250-758-7726","250-758-7762","NULL","NULL","1","Yes","49.2030314","-123.9959975",""
"1601","Northwest Fuels Ltd","125 George Hills Way, ","Prince Rupert","BC","Canada","V8J 3P6","250.624.4106","NULL","NULL","www.northwestfuels.ca","1","Yes","54.319771","-130.317568",""
"106","Gone Fishin' Ltd","5069 Johnston Rd","Port Alberni","BC","Canada","V9Y 5L6","250-723-1172","250-723-1173","NULL","NULL","1","Yes","49.2577777","-124.8132376",""
"1602","Bridgeview Marine ","537 Beach Rd, Sandspit","Haida Gwaii","BG","Canada","V0T 1T0","250.637.5432 ","NULL","NULL","NULL","1","Yes","53.240277","-131.833189",""
"110","River Sportsman Ltd","2115 Island Hwy","Campbell River","BC","Canada","V9W 2G6","250-286-1017","250-286-9767","NULL","NULL","1","Yes","50.0334037","-125.2750511",""
"1603","THE REEL DOCTOR","#3, 5408  53 AVE","EDMONTON","AB","Canada","T6B 3K1","780.431.0146","NULL","NULL","NULL","1","Yes","53.490891","-113.421806",""
"94","Tyee Marine & Fishing Supplies","880 Island Hwy","Campbell River","BC","Canada","V9W 2C3","250-287-2641","250-287-7701","NULL","NULL","1","Yes","50.0228938","-125.2401783",""
"1414","Les Mains Agiles","206 Labelle Blvd.","Ste. Rose","QC","Canada","450-625-69","NULL","NULL","NULL","NULL","1","Yes","45.6033564","-73.7895827",""
"50","Shortwave Marine Electronics","110 Lakeshore Rd E","Port Credit","ON","Canada","L5G 1E3","905-278-6541","NULL","NULL","NULL","1","No","43.5538174","-79.5834729",""
"1479","FISHNTECH INC.","321C GRACE STREET","LACHUTE","QC","Canada","J8H 1M2","514-990-8144","NULL","NULL","NULL","1","Yes","45.6527545","-74.3419711",""
"81","Watson's Tackle House","125B 14th Street West","Owen Sound","ON","Canada","N4K 4A1","519-371-0090","NULL","NULL","NULL","-1","No","44.5728801","-80.9463054",""
"475","John's Sporting Goods","1913 Broadway","Everett","WA","USA","98201","425-259-3056","425-252-7291","NULL","NULL","1","Yes","47.9918264","-122.2008082",""
"1186","Alaska Performance Marine","6820 Arctic Blvd","Anchorage","AK","USA","99518","907-522-8965","NULL","NULL","NULL","1","Yes","61.1585736","-149.8947368",""
"1604","Ace Hardware","1720 Q Ave","Anacortes","WA","Seattle","98221","360.293.3535","HULL","NULL","NULL","1","Yes","48.507575","-122.611491",""
"369","Orion Sporting Goods","705 Halibut Point Road","Sitka","AK","USA","99835","907-747-3541","NULL","NULL","NULL","1","Yes","57.0596234","-135.3479979",""
"295","Auburn Sport & Marine","810 Auburn Way No.","Auburn","WA","USA","98002","253-833-1440","253-735-9412","NULL","NULL","1","Yes","47.3157057","-122.222769",""
"490","Ulmer's Drug & Hardware","3858 Lake Street / Suite 5","Homer","AK","USA","99603","907-235-8594","907-235-2897","NULL","NULL","-1","No","59.6467004","-151.5237191",""
